Indicador,Nível Territorial,Abertura Territorial,Variável de abertura 1,Categoria de abertura 1,Variável de abertura 2,Categoria de abertura 2,Valor,mes_entrevista
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,726.4901817568629,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,1567.338177964534,5
Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (mil pessoas),País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,476.9419575020509,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Total,-,-,2.310804029828824,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Homem,-,-,2.88460214929967,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Mulher,-,-,2.530426501710458,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,Total,-,-,2.310804029828824,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,11.75138005088356,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,5.563166397385584,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,4.081915699744227,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,2.504613532945384,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,4.922411681201396,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,Total ,-,-,2.310804029828824,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,2.415874766231109,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,4.922411681201396,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Total4,-,-,2.310804029828824,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Branca,-,-,3.693254987727182,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Preta ou parda,-,-,2.738784702082425,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Total,-,-,2.310804029828824,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,4.190515062703368,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,4.123029910892854,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,2.979057311761076,5
CV - Pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,4.944579795655898,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Homem,-,-,43.339503662479636,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Mulher,-,-,56.66049633752033,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,7.228395332670447,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,9.447958819768147,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,17.894809159878143,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,50.59720519382045,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,14.831631493862819,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,Total ,-,-,100.0,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,0 a 59 anos ,-,-,85.1683685061372,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,60 anos ou mais ,-,-,14.831631493862819,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Total4,-,-,100.0,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Branca,-,-,40.290120884884495,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Cor ou Raça,Preta ou parda,-,-,58.22416708955493,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Total,-,-,100.0,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Sem instrução ao fundamental incompleto,-,-,32.80668361321268,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Fundamental completo ao médio incompleto,-,-,16.33865302034987,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Médio completo ao superior incompleto,-,-,34.81699278586134,5
Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Nível de instrução,Superior completo ou pós-graduação,-,-,16.037670580576165,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Total,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Homem,-,-,0.6719983317033071,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Sexo,Mulher,-,-,0.5140102194754311,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,Total,-,-,0.0,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,0 a 9 anos,-,-,2.6007858359645026,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,10 a 19 anos,-,-,1.9406551432560704,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,20 a 29 anos,-,-,1.4438971760565271,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,30 a 59 anos,-,-,0.6120582933376372,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade,60 anos ou mais,-,-,1.506248070381686,5
CV - Distribuição das pessoas que apresentaram o sintoma de perda de cheiro ou de sabor (%),País,Brasil,Grupos de Idade 2,Total ,-,-,0.0,5
